"Package","Version","Source","Type","Title","License","URL","Author","Maintainer","Repository"
"RcppTOML","0.2.3","Repository","Package","'Rcpp' Bindings to Parser for ""Tom's Obvious Markup Language""","GPL (>= 2)","http://dirk.eddelbuettel.com/code/rcpp.toml.html","Dirk Eddelbuettel [aut, cre] (<https://orcid.org/0000-0001-6419-907X>), Mark Gillard [aut] (Author of 'toml++' header library)","Dirk Eddelbuettel <edd@debian.org>","CRAN"
"askpass","1.2.1","Repository","Package","Password Entry Utilities for R, Git, and SSH","MIT + file LICENSE","https://r-lib.r-universe.dev/askpass","Jeroen Ooms [aut, cre] (<https://orcid.org/0000-0002-4035-0289>)","Jeroen Ooms <jeroenooms@gmail.com>","CRAN"
"backports","1.5.0","Repository","Package","Reimplementations of Functions Introduced Since R-3.0.0","GPL-2 | GPL-3","https://github.com/r-lib/backports","Michel Lang [cre, aut] (<https://orcid.org/0000-0001-9754-0393>), Duncan Murdoch [aut], R Core Team [aut]","Michel Lang <michellang@gmail.com>","CRAN"
"base64enc","0.1-3","Repository","","Tools for base64 encoding","GPL-2 | GPL-3","http://www.rforge.net/base64enc","Simon Urbanek <Simon.Urbanek@r-project.org>","Simon Urbanek <Simon.Urbanek@r-project.org>","CRAN"
"box","1.2.0","Repository","","Write Reusable, Composable and Modular R Code","MIT + file LICENSE","https://klmr.me/box/, https://github.com/klmr/box","Konrad Rudolph [aut, cre] (<https://orcid.org/0000-0002-9866-7051>), Michael Schubert [ctb] (<https://orcid.org/0000-0002-6862-5221>)","Konrad Rudolph <konrad.rudolph@gmail.com>","CRAN"
"box.linters","0.10.6","Repository","","Linters for 'box' Modules","LGPL-3","https://appsilon.github.io/box.linters/, https://github.com/Appsilon/box.linters","Ricardo Rodrigo Basa [aut, cre], Jakub Nowicki [aut], Mateusz Kołomański [ctb], Guilherme Vituri [ctb], Appsilon Sp. z o.o. [cph]","Ricardo Rodrigo Basa <opensource+rodrigo@appsilon.com>","CRAN"
"box.lsp","0.1.3","Repository","","Provides 'box' Compatibility for 'languageserver'","LGPL-3","https://github.com/Appsilon/box.lsp, https://appsilon.github.io/box.lsp/","Ricardo Rodrigo Basa [aut, cre], Pavel Demin [aut], Jakub Nowicki [aut], Appsilon Sp. z o.o. [cph]","Ricardo Rodrigo Basa <opensource+rodrigo@appsilon.com>","CRAN"
"brio","1.1.5","Repository","","Basic R Input Output","MIT + file LICENSE","https://brio.r-lib.org, https://github.com/r-lib/brio","Jim Hester [aut] (<https://orcid.org/0000-0002-2739-7082>), Gábor Csárdi [aut, cre], Posit Software, PBC [cph, fnd]","Gábor Csárdi <csardi.gabor@gmail.com>","CRAN"
"bslib","0.9.0","Repository","","Custom 'Bootstrap' 'Sass' Themes for 'shiny' and 'rmarkdown'","MIT + file LICENSE","https://rstudio.github.io/bslib/, https://github.com/rstudio/bslib","Carson Sievert [aut, cre] (<https://orcid.org/0000-0002-4958-2844>), Joe Cheng [aut], Garrick Aden-Buie [aut] (<https://orcid.org/0000-0002-7111-0077>), Posit Software, PBC [cph, fnd], Bootstrap contributors [ctb] (Bootstrap library), Twitter, Inc [cph] (Bootstrap library), Javi Aguilar [ctb, cph] (Bootstrap colorpicker library), Thomas Park [ctb, cph] (Bootswatch library), PayPal [ctb, cph] (Bootstrap accessibility plugin)","Carson Sievert <carson@posit.co>","CRAN"
"cachem","1.1.0","Repository","","Cache R Objects with Automatic Pruning","MIT + file LICENSE","https://cachem.r-lib.org/, https://github.com/r-lib/cachem","Winston Chang [aut, cre], Posit Software, PBC [cph, fnd]","Winston Chang <winston@posit.co>","CRAN"
"callr","3.7.6","Repository","","Call R from R","MIT + file LICENSE","https://callr.r-lib.org, https://github.com/r-lib/callr","Gábor Csárdi [aut, cre, cph] (<https://orcid.org/0000-0001-7098-9676>), Winston Chang [aut], Posit Software, PBC [cph, fnd], Ascent Digital Services [cph, fnd]","Gábor Csárdi <csardi.gabor@gmail.com>","CRAN"
"cli","3.6.5","Repository","","Helpers for Developing Command Line Interfaces","MIT + file LICENSE","https://cli.r-lib.org, https://github.com/r-lib/cli","Gábor Csárdi [aut, cre], Hadley Wickham [ctb], Kirill Müller [ctb], Salim Brüggemann [ctb] (<https://orcid.org/0000-0002-5329-5987>), Posit Software, PBC [cph, fnd]","Gábor Csárdi <gabor@posit.co>","CRAN"
"clipr","0.8.0","Repository","Package","Read and Write from the System Clipboard","GPL-3","https://github.com/mdlincoln/clipr, http://matthewlincoln.net/clipr/","Matthew Lincoln [aut, cre] (<https://orcid.org/0000-0002-4387-3384>), Louis Maddox [ctb], Steve Simpson [ctb], Jennifer Bryan [ctb]","Matthew Lincoln <matthew.d.lincoln@gmail.com>","CRAN"
"codetools","0.2-20","Repository","","Code Analysis Tools for R","GPL","https://gitlab.com/luke-tierney/codetools","Luke Tierney <luke-tierney@uiowa.edu>","Luke Tierney <luke-tierney@uiowa.edu>","CRAN"
"common","1.1.3","Repository","Package","Solutions for Common Problems in Base R","CC0","https://common.r-sassy.org, https://github.com/dbosak01/common","David Bosak [aut, cre], Duong Tran [ctb]","David Bosak <dbosak01@gmail.com>","CRAN"
"commonmark","2.0.0","Repository","Package","High Performance CommonMark and Github Markdown Rendering in R","BSD_2_clause + file LICENSE","https://docs.ropensci.org/commonmark/ https://ropensci.r-universe.dev/commonmark","Jeroen Ooms [aut, cre] (ORCID: <https://orcid.org/0000-0002-4035-0289>), John MacFarlane [cph] (Author of cmark)","Jeroen Ooms <jeroenooms@gmail.com>","CRAN"
"config","0.3.2","Repository","Package","Manage Environment Specific Configuration Values","GPL-3","https://rstudio.github.io/config/, https://github.com/rstudio/config","JJ Allaire [aut], Andrie de Vries [cre], Posit Software, PBC [cph, fnd]","Andrie de Vries <apdevries@gmail.com>","CRAN"
"cpp11","0.5.2","Repository","","A C++11 Interface for R's C Interface","MIT + file LICENSE","https://cpp11.r-lib.org, https://github.com/r-lib/cpp11","Davis Vaughan [aut, cre] (<https://orcid.org/0000-0003-4777-038X>), Jim Hester [aut] (<https://orcid.org/0000-0002-2739-7082>), Romain François [aut] (<https://orcid.org/0000-0002-2444-4226>), Benjamin Kietzman [ctb], Posit Software, PBC [cph, fnd]","Davis Vaughan <davis@posit.co>","CRAN"
"crayon","1.5.3","Repository","","Colored Terminal Output","MIT + file LICENSE","https://r-lib.github.io/crayon/, https://github.com/r-lib/crayon","Gábor Csárdi [aut, cre], Brodie Gaslam [ctb], Posit Software, PBC [cph, fnd]","Gábor Csárdi <csardi.gabor@gmail.com>","CRAN"
"crosstalk","1.2.1","Repository","Package","Inter-Widget Interactivity for HTML Widgets","MIT + file LICENSE","https://rstudio.github.io/crosstalk/, https://github.com/rstudio/crosstalk","Joe Cheng [aut], Carson Sievert [aut, cre] (<https://orcid.org/0000-0002-4958-2844>), Posit Software, PBC [cph, fnd], jQuery Foundation [cph] (jQuery library and jQuery UI library), jQuery contributors [ctb, cph] (jQuery library; authors listed in inst/www/shared/jquery-AUTHORS.txt), Mark Otto [ctb] (Bootstrap library), Jacob Thornton [ctb] (Bootstrap library), Bootstrap contributors [ctb] (Bootstrap library), Twitter, Inc [cph] (Bootstrap library), Brian Reavis [ctb, cph] (selectize.js library), Kristopher Michael Kowal [ctb, cph] (es5-shim library), es5-shim contributors [ctb, cph] (es5-shim library), Denis Ineshin [ctb, cph] (ion.rangeSlider library), Sami Samhuri [ctb, cph] (Javascript strftime library)","Carson Sievert <carson@posit.co>","CRAN"
"curl","6.4.0","Repository","Package","A Modern and Flexible Web Client for R","MIT + file LICENSE","https://jeroen.r-universe.dev/curl","Jeroen Ooms [aut, cre] (ORCID: <https://orcid.org/0000-0002-4035-0289>), Hadley Wickham [ctb], Posit Software, PBC [cph]","Jeroen Ooms <jeroenooms@gmail.com>","CRAN"
"data.table","1.17.8","Repository","","Extension of `data.frame`","MPL-2.0 | file LICENSE","https://r-datatable.com, https://Rdatatable.gitlab.io/data.table, https://github.com/Rdatatable/data.table","Tyson Barrett [aut, cre] (ORCID: <https://orcid.org/0000-0002-2137-1391>), Matt Dowle [aut], Arun Srinivasan [aut], Jan Gorecki [aut], Michael Chirico [aut] (ORCID: <https://orcid.org/0000-0003-0787-087X>), Toby Hocking [aut] (ORCID: <https://orcid.org/0000-0002-3146-0865>), Benjamin Schwendinger [aut] (ORCID: <https://orcid.org/0000-0003-3315-8114>), Ivan Krylov [aut] (ORCID: <https://orcid.org/0000-0002-0172-3812>), Pasha Stetsenko [ctb], Tom Short [ctb], Steve Lianoglou [ctb], Eduard Antonyan [ctb], Markus Bonsch [ctb], Hugh Parsonage [ctb], Scott Ritchie [ctb], Kun Ren [ctb], Xianying Tan [ctb], Rick Saporta [ctb], Otto Seiskari [ctb], Xianghui Dong [ctb], Michel Lang [ctb], Watal Iwasaki [ctb], Seth Wenchel [ctb], Karl Broman [ctb], Tobias Schmidt [ctb], David Arenburg [ctb], Ethan Smith [ctb], Francois Cocquemas [ctb], Matthieu Gomez [ctb], Philippe Chataignon [ctb], Nello Blaser [ctb], Dmitry Selivanov [ctb], Andrey Riabushenko [ctb], Cheng Lee [ctb], Declan Groves [ctb], Daniel Possenriede [ctb], Felipe Parages [ctb], Denes Toth [ctb], Mus Yaramaz-David [ctb], Ayappan Perumal [ctb], James Sams [ctb], Martin Morgan [ctb], Michael Quinn [ctb], @javrucebo [ctb], @marc-outins [ctb], Roy Storey [ctb], Manish Saraswat [ctb], Morgan Jacob [ctb], Michael Schubmehl [ctb], Davis Vaughan [ctb], Leonardo Silvestri [ctb], Jim Hester [ctb], Anthony Damico [ctb], Sebastian Freundt [ctb], David Simons [ctb], Elliott Sales de Andrade [ctb], Cole Miller [ctb], Jens Peder Meldgaard [ctb], Vaclav Tlapak [ctb], Kevin Ushey [ctb], Dirk Eddelbuettel [ctb], Tony Fischetti [ctb], Ofek Shilon [ctb], Vadim Khotilovich [ctb], Hadley Wickham [ctb], Bennet Becker [ctb], Kyle Haynes [ctb], Boniface Christian Kamgang [ctb], Olivier Delmarcell [ctb], Josh O'Brien [ctb], Dereck de Mezquita [ctb], Michael Czekanski [ctb], Dmitry Shemetov [ctb], Nitish Jha [ctb], Joshua Wu [ctb], Iago Giné-Vázquez [ctb], Anirban Chetia [ctb], Doris Amoakohene [ctb], Angel Feliz [ctb], Michael Young [ctb], Mark Seeto [ctb], Philippe Grosjean [ctb], Vincent Runge [ctb], Christian Wia [ctb], Elise Maigné [ctb], Vincent Rocher [ctb], Vijay Lulla [ctb], Aljaž Sluga [ctb], Bill Evans [ctb]","Tyson Barrett <t.barrett88@gmail.com>","CRAN"
"desc","1.4.3","Repository","","Manipulate DESCRIPTION Files","MIT + file LICENSE","https://desc.r-lib.org/, https://github.com/r-lib/desc","Gábor Csárdi [aut, cre], Kirill Müller [aut], Jim Hester [aut], Maëlle Salmon [ctb] (<https://orcid.org/0000-0002-2815-0399>), Posit Software, PBC [cph, fnd]","Gábor Csárdi <csardi.gabor@gmail.com>","CRAN"
"diffobj","0.3.6","Repository","Package","Diffs for R Objects","GPL-2 | GPL-3","https://github.com/brodieG/diffobj","Brodie Gaslam [aut, cre], Michael B. Allen [ctb, cph] (Original C implementation of Myers Diff Algorithm)","Brodie Gaslam <brodie.gaslam@yahoo.com>","CRAN"
"digest","0.6.37","Repository","","Create Compact Hash Digests of R Objects","GPL (>= 2)","https://github.com/eddelbuettel/digest, https://dirk.eddelbuettel.com/code/digest.html","Dirk Eddelbuettel [aut, cre] (<https://orcid.org/0000-0001-6419-907X>), Antoine Lucas [ctb], Jarek Tuszynski [ctb], Henrik Bengtsson [ctb] (<https://orcid.org/0000-0002-7579-5165>), Simon Urbanek [ctb] (<https://orcid.org/0000-0003-2297-1732>), Mario Frasca [ctb], Bryan Lewis [ctb], Murray Stokely [ctb], Hannes Muehleisen [ctb], Duncan Murdoch [ctb], Jim Hester [ctb], Wush Wu [ctb] (<https://orcid.org/0000-0001-5180-0567>), Qiang Kou [ctb] (<https://orcid.org/0000-0001-6786-5453>), Thierry Onkelinx [ctb] (<https://orcid.org/0000-0001-8804-4216>), Michel Lang [ctb] (<https://orcid.org/0000-0001-9754-0393>), Viliam Simko [ctb], Kurt Hornik [ctb] (<https://orcid.org/0000-0003-4198-9911>), Radford Neal [ctb] (<https://orcid.org/0000-0002-2473-3407>), Kendon Bell [ctb] (<https://orcid.org/0000-0002-9093-8312>), Matthew de Queljoe [ctb], Dmitry Selivanov [ctb], Ion Suruceanu [ctb], Bill Denney [ctb], Dirk Schumacher [ctb], András Svraka [ctb], Sergey Fedorov [ctb], Will Landau [ctb] (<https://orcid.org/0000-0003-1878-3253>), Floris Vanderhaeghe [ctb] (<https://orcid.org/0000-0002-6378-6229>), Kevin Tappe [ctb], Harris McGehee [ctb], Tim Mastny [ctb], Aaron Peikert [ctb] (<https://orcid.org/0000-0001-7813-818X>), Mark van der Loo [ctb] (<https://orcid.org/0000-0002-9807-4686>), Chris Muir [ctb] (<https://orcid.org/0000-0003-2555-3878>), Moritz Beller [ctb] (<https://orcid.org/0000-0003-4852-0526>), Sebastian Campbell [ctb], Winston Chang [ctb] (<https://orcid.org/0000-0002-1576-2126>), Dean Attali [ctb] (<https://orcid.org/0000-0002-5645-3493>), Michael Chirico [ctb] (<https://orcid.org/0000-0003-0787-087X>), Kevin Ushey [ctb]","Dirk Eddelbuettel <edd@debian.org>","CRAN"
"dplyr","1.1.4","Repository","Package","A Grammar of Data Manipulation","MIT + file LICENSE","https://dplyr.tidyverse.org, https://github.com/tidyverse/dplyr","Hadley Wickham [aut, cre] (<https://orcid.org/0000-0003-4757-117X>), Romain François [aut] (<https://orcid.org/0000-0002-2444-4226>), Lionel Henry [aut], Kirill Müller [aut] (<https://orcid.org/0000-0002-1416-3412>), Davis Vaughan [aut] (<https://orcid.org/0000-0003-4777-038X>), Posit Software, PBC [cph, fnd]","Hadley Wickham <hadley@posit.co>","CRAN"
"evaluate","1.0.4","Repository","Package","Parsing and Evaluation Tools that Provide More Details than the Default","MIT + file LICENSE","https://evaluate.r-lib.org/, https://github.com/r-lib/evaluate","Hadley Wickham [aut, cre], Yihui Xie [aut] (ORCID: <https://orcid.org/0000-0003-0645-5666>), Michael Lawrence [ctb], Thomas Kluyver [ctb], Jeroen Ooms [ctb], Barret Schloerke [ctb], Adam Ryczkowski [ctb], Hiroaki Yutani [ctb], Michel Lang [ctb], Karolis Koncevičius [ctb], Posit Software, PBC [cph, fnd]","Hadley Wickham <hadley@posit.co>","CRAN"
"farver","2.1.2","Repository","Package","High Performance Colour Space Manipulation","MIT + file LICENSE","https://farver.data-imaginist.com, https://github.com/thomasp85/farver","Thomas Lin Pedersen [cre, aut] (<https://orcid.org/0000-0002-5147-4711>), Berendea Nicolae [aut] (Author of the ColorSpace C++ library), Romain François [aut] (<https://orcid.org/0000-0002-2444-4226>), Posit, PBC [cph, fnd]","Thomas Lin Pedersen <thomas.pedersen@posit.co>","CRAN"
"fastmap","1.2.0","Repository","","Fast Data Structures","MIT + file LICENSE","https://r-lib.github.io/fastmap/, https://github.com/r-lib/fastmap","Winston Chang [aut, cre], Posit Software, PBC [cph, fnd], Tessil [cph] (hopscotch_map library)","Winston Chang <winston@posit.co>","CRAN"
"fontawesome","0.5.3","Repository","Package","Easily Work with 'Font Awesome' Icons","MIT + file LICENSE","https://github.com/rstudio/fontawesome, https://rstudio.github.io/fontawesome/","Richard Iannone [aut, cre] (<https://orcid.org/0000-0003-3925-190X>), Christophe Dervieux [ctb] (<https://orcid.org/0000-0003-4474-2498>), Winston Chang [ctb], Dave Gandy [ctb, cph] (Font-Awesome font), Posit Software, PBC [cph, fnd]","Richard Iannone <rich@posit.co>","CRAN"
"fs","1.6.6","Repository","","Cross-Platform File System Operations Based on 'libuv'","MIT + file LICENSE","https://fs.r-lib.org, https://github.com/r-lib/fs","Jim Hester [aut], Hadley Wickham [aut], Gábor Csárdi [aut, cre], libuv project contributors [cph] (libuv library), Joyent, Inc. and other Node contributors [cph] (libuv library), Posit Software, PBC [cph, fnd]","Gábor Csárdi <csardi.gabor@gmail.com>","CRAN"
"generics","0.1.4","Repository","","Common S3 Generics not Provided by Base R Methods Related to Model Fitting","MIT + file LICENSE","https://generics.r-lib.org, https://github.com/r-lib/generics","Hadley Wickham [aut, cre] (ORCID: <https://orcid.org/0000-0003-4757-117X>), Max Kuhn [aut], Davis Vaughan [aut], Posit Software, PBC [cph, fnd] (ROR: <https://ror.org/03wc8by49>)","Hadley Wickham <hadley@posit.co>","CRAN"
"ggplot2","3.5.2","Repository","","Create Elegant Data Visualisations Using the Grammar of Graphics","MIT + file LICENSE","https://ggplot2.tidyverse.org, https://github.com/tidyverse/ggplot2","Hadley Wickham [aut] (<https://orcid.org/0000-0003-4757-117X>), Winston Chang [aut] (<https://orcid.org/0000-0002-1576-2126>), Lionel Henry [aut], Thomas Lin Pedersen [aut, cre] (<https://orcid.org/0000-0002-5147-4711>), Kohske Takahashi [aut], Claus Wilke [aut] (<https://orcid.org/0000-0002-7470-9261>), Kara Woo [aut] (<https://orcid.org/0000-0002-5125-4188>), Hiroaki Yutani [aut] (<https://orcid.org/0000-0002-3385-7233>), Dewey Dunnington [aut] (<https://orcid.org/0000-0002-9415-4582>), Teun van den Brand [aut] (<https://orcid.org/0000-0002-9335-7468>), Posit, PBC [cph, fnd]","Thomas Lin Pedersen <thomas.pedersen@posit.co>","CRAN"
"glue","1.8.0","Repository","","Interpreted String Literals","MIT + file LICENSE","https://glue.tidyverse.org/, https://github.com/tidyverse/glue","Jim Hester [aut] (<https://orcid.org/0000-0002-2739-7082>), Jennifer Bryan [aut, cre] (<https://orcid.org/0000-0002-6983-2759>), Posit Software, PBC [cph, fnd]","Jennifer Bryan <jenny@posit.co>","CRAN"
"gtable","0.3.6","Repository","","Arrange 'Grobs' in Tables","MIT + file LICENSE","https://gtable.r-lib.org, https://github.com/r-lib/gtable","Hadley Wickham [aut], Thomas Lin Pedersen [aut, cre], Posit Software, PBC [cph, fnd]","Thomas Lin Pedersen <thomas.pedersen@posit.co>","CRAN"
"here","1.0.1","Repository","","A Simpler Way to Find Your Files","MIT + file LICENSE","https://here.r-lib.org/, https://github.com/r-lib/here","Kirill Müller [aut, cre] (<https://orcid.org/0000-0002-1416-3412>), Jennifer Bryan [ctb] (<https://orcid.org/0000-0002-6983-2759>)","Kirill Müller <krlmlr+r@mailbox.org>","CRAN"
"highr","0.11","Repository","Package","Syntax Highlighting for R Source Code","GPL","https://github.com/yihui/highr","Yihui Xie [aut, cre] (<https://orcid.org/0000-0003-0645-5666>), Yixuan Qiu [aut], Christopher Gandrud [ctb], Qiang Li [ctb]","Yihui Xie <xie@yihui.name>","CRAN"
"htmltools","0.5.8.1","Repository","Package","Tools for HTML","GPL (>= 2)","https://github.com/rstudio/htmltools, https://rstudio.github.io/htmltools/","Joe Cheng [aut], Carson Sievert [aut, cre] (<https://orcid.org/0000-0002-4958-2844>), Barret Schloerke [aut] (<https://orcid.org/0000-0001-9986-114X>), Winston Chang [aut] (<https://orcid.org/0000-0002-1576-2126>), Yihui Xie [aut], Jeff Allen [aut], Posit Software, PBC [cph, fnd]","Carson Sievert <carson@posit.co>","CRAN"
"htmlwidgets","1.6.4","Repository","Package","HTML Widgets for R","MIT + file LICENSE","https://github.com/ramnathv/htmlwidgets","Ramnath Vaidyanathan [aut, cph], Yihui Xie [aut], JJ Allaire [aut], Joe Cheng [aut], Carson Sievert [aut, cre] (<https://orcid.org/0000-0002-4958-2844>), Kenton Russell [aut, cph], Ellis Hughes [ctb], Posit Software, PBC [cph, fnd]","Carson Sievert <carson@posit.co>","CRAN"
"httpuv","1.6.16","Repository","Package","HTTP and WebSocket Server Library","GPL (>= 2) | file LICENSE","https://github.com/rstudio/httpuv","Joe Cheng [aut], Winston Chang [aut, cre], Posit, PBC fnd [cph], Hector Corrada Bravo [ctb], Jeroen Ooms [ctb], Andrzej Krzemienski [cph] (optional.hpp), libuv project contributors [cph] (libuv library, see src/libuv/AUTHORS file), Joyent, Inc. and other Node contributors [cph] (libuv library, see src/libuv/AUTHORS file; and http-parser library, see src/http-parser/AUTHORS file), Niels Provos [cph] (libuv subcomponent: tree.h), Internet Systems Consortium, Inc. [cph] (libuv subcomponent: inet_pton and inet_ntop, contained in src/libuv/src/inet.c), Alexander Chemeris [cph] (libuv subcomponent: stdint-msvc2008.h (from msinttypes)), Google, Inc. [cph] (libuv subcomponent: pthread-fixes.c), Sony Mobile Communcations AB [cph] (libuv subcomponent: pthread-fixes.c), Berkeley Software Design Inc. [cph] (libuv subcomponent: android-ifaddrs.h, android-ifaddrs.c), Kenneth MacKay [cph] (libuv subcomponent: android-ifaddrs.h, android-ifaddrs.c), Emergya (Cloud4all, FP7/2007-2013, grant agreement no 289016) [cph] (libuv subcomponent: android-ifaddrs.h, android-ifaddrs.c), Steve Reid [aut] (SHA-1 implementation), James Brown [aut] (SHA-1 implementation), Bob Trower [aut] (base64 implementation), Alexander Peslyak [aut] (MD5 implementation), Trantor Standard Systems [cph] (base64 implementation), Igor Sysoev [cph] (http-parser)","Winston Chang <winston@posit.co>","CRAN"
"httr","1.4.7","Repository","","Tools for Working with URLs and HTTP","MIT + file LICENSE","https://httr.r-lib.org/, https://github.com/r-lib/httr","Hadley Wickham [aut, cre], Posit, PBC [cph, fnd]","Hadley Wickham <hadley@posit.co>","CRAN"
"isoband","0.2.7","Repository","","Generate Isolines and Isobands from Regularly Spaced Elevation Grids","MIT + file LICENSE","https://isoband.r-lib.org","Hadley Wickham [aut, cre] (<https://orcid.org/0000-0003-4757-117X>), Claus O. Wilke [aut] (Original author, <https://orcid.org/0000-0002-7470-9261>), Thomas Lin Pedersen [aut] (<https://orcid.org/0000-0002-5147-4711>)","Hadley Wickham <hadley@posit.co>","CRAN"
"jquerylib","0.1.4","Repository","","Obtain 'jQuery' as an HTML Dependency Object","MIT + file LICENSE","","Carson Sievert [aut, cre] (<https://orcid.org/0000-0002-4958-2844>), Joe Cheng [aut], RStudio [cph], jQuery Foundation [cph] (jQuery library and jQuery UI library), jQuery contributors [ctb, cph] (jQuery library; authors listed in inst/lib/jquery-AUTHORS.txt)","Carson Sievert <carson@rstudio.com>","CRAN"
"jsonlite","2.0.0","Repository","","A Simple and Robust JSON Parser and Generator for R","MIT + file LICENSE","https://jeroen.r-universe.dev/jsonlite https://arxiv.org/abs/1403.2805","Jeroen Ooms [aut, cre] (<https://orcid.org/0000-0002-4035-0289>), Duncan Temple Lang [ctb], Lloyd Hilaiel [cph] (author of bundled libyajl)","Jeroen Ooms <jeroenooms@gmail.com>","CRAN"
